index,user_id,item_id,event_type,watch_seconds,timestamp,age,gender,region,content_type,genre
0,u15,i19,play,2151,2025-01-01 00:01:00,25,F,Bandung,movie,romance
1,u187,i231,skip,13,2025-01-01 00:12:00,18,F,Medan,series,drama
2,u109,i58,play,479,2025-01-01 00:16:00,38,F,Medan,series,anime
3,u106,i15,play,2659,2025-01-01 00:41:00,53,F,Jakarta,movie,romance
4,u60,i85,skip,19,2025-01-01 01:18:00,31,M,Surabaya,movie,romance
5,u199,i167,play,828,2025-01-01 01:20:00,32,F,Jakarta,series,family
6,u195,i115,pause,139,2025-01-01 01:20:00,17,M,Makassar,series,family
7,u67,i24,like,1609,2025-01-01 01:55:00,39,F,Denpasar,movie,comedy
8,u8,i72,like,1609,2025-01-01 02:05:00,41,M,Yogyakarta,microdrama,comedy
9,u124,i48,play,2454,2025-01-01 02:18:00,17,M,Denpasar,movie,family
10,u97,i216,complete,3327,2025-01-01 02:26:00,53,M,Denpasar,microdrama,comedy
11,u57,i236,play,2496,2025-01-01 03:23:00,26,M,Yogyakarta,tv,comedy
12,u129,i16,complete,982,2025-01-01 03:40:00,20,F,Yogyakarta,movie,romance
13,u60,i153,play,2900,2025-01-01 03:43:00,31,M,Surabaya,microdrama,thriller
14,u15,i198,play,425,2025-01-01 03:55:00,25,F,Bandung,microdrama,comedy
15,u39,i260,play,1723,2025-01-01 04:14:00,30,F,Medan,series,anime
16,u177,i31,play,3484,2025-01-01 04:43:00,41,F,Bandung,movie,action
17,u45,i39,pause,162,2025-01-01 04:45:00,28,F,Medan,series,thriller
18,u2,i194,play,839,2025-01-01 04:51:00,19,M,Denpasar,series,family
19,u71,i168,complete,3565,2025-01-01 05:33:00,51,F,Medan,movie,romance
20,u101,i194,play,1282,2025-01-01 05:53:00,43,F,Denpasar,series,family
21,u35,i209,play,2326,2025-01-01 06:04:00,43,F,Jakarta,movie,family
22,u28,i19,play,2590,2025-01-01 06:20:00,18,F,Surabaya,movie,romance
23,u63,i106,pause,200,2025-01-01 06:26:00,50,F,Medan,movie,action
24,u7,i166,skip,8,2025-01-01 06:34:00,39,F,Yogyakarta,series,anime
25,u207,i185,like,2414,2025-01-01 06:43:00,39,F,Medan,tv,kids
26,u206,i186,play,122,2025-01-01 06:50:00,29,F,Denpasar,series,thriller
27,u137,i153,play,1585,2025-01-01 06:56:00,54,M,Jakarta,microdrama,thriller
28,u91,i111,skip,33,2025-01-01 07:27:00,38,F,Surabaya,movie,drama
29,u34,i227,play,3133,2025-01-01 07:31:00,46,M,Medan,series,thriller
30,u181,i19,skip,23,2025-01-01 07:32:00,55,M,Makassar,movie,romance
31,u104,i67,play,979,2025-01-01 07:39:00,16,M,Denpasar,microdrama,romance
32,u49,i243,complete,640,2025-01-01 08:25:00,47,F,Denpasar,tv,kids
33,u79,i123,play,704,2025-01-01 08:30:00,31,M,Jakarta,microdrama,romance
34,u53,i62,play,2059,2025-01-01 08:33:00,17,M,Denpasar,series,anime
35,u11,i133,like,2378,2025-01-01 08:39:00,24,F,Makassar,series,anime
36,u201,i240,complete,1354,2025-01-01 08:47:00,34,M,Yogyakarta,microdrama,comedy
37,u106,i47,play,1499,2025-01-01 09:22:00,53,F,Jakarta,movie,family
38,u184,i37,pause,162,2025-01-01 09:39:00,25,F,Surabaya,series,thriller
39,u219,i40,like,2846,2025-01-01 09:53:00,44,F,Makassar,series,thriller
40,u202,i56,like,1967,2025-01-01 10:25:00,46,F,Denpasar,movie,drama
41,u124,i163,play,1215,2025-01-01 10:27:00,17,M,Denpasar,tv,kids
42,u107,i198,play,428,2025-01-01 10:27:00,43,M,Surabaya,microdrama,comedy
43,u55,i135,pause,80,2025-01-01 10:35:00,37,M,Makassar,movie,romance
44,u32,i173,play,3291,2025-01-01 11:30:00,31,F,Surabaya,series,anime
45,u220,i165,complete,2534,2025-01-01 11:35:00,36,M,Makassar,movie,romance
46,u156,i121,play,524,2025-01-01 11:37:00,21,M,Makassar,series,family
47,u127,i175,play,541,2025-01-01 11:51:00,25,F,Yogyakarta,series,family
48,u197,i42,play,1079,2025-01-01 12:57:00,33,F,Medan,tv,kids
49,u50,i78,play,2097,2025-01-01 13:14:00,20,M,Medan,series,anime
50,u109,i242,play,1233,2025-01-01 13:19:00,38,F,Medan,movie,comedy
51,u145,i190,pause,230,2025-01-01 13:42:00,44,F,Denpasar,movie,thriller
52,u13,i15,save,165,2025-01-01 14:14:00,42,F,Yogyakarta,movie,romance
53,u67,i133,complete,717,2025-01-01 14:18:00,39,F,Denpasar,series,anime
54,u32,i179,complete,3395,2025-01-01 15:26:00,31,F,Surabaya,microdrama,comedy
55,u212,i101,skip,31,2025-01-01 15:37:00,54,M,Makassar,movie,family
56,u98,i105,play,3023,2025-01-01 16:01:00,20,M,Yogyakarta,series,romance
57,u166,i93,complete,1135,2025-01-01 16:10:00,19,M,Bandung,series,romance
58,u174,i194,play,168,2025-01-01 16:40:00,49,M,Yogyakarta,series,family
59,u94,i200,like,3550,2025-01-01 16:42:00,19,M,Jakarta,series,drama
60,u115,i139,play,3433,2025-01-01 16:46:00,30,M,Surabaya,series,anime
61,u122,i200,like,1449,2025-01-01 17:08:00,42,F,Denpasar,series,drama
62,u214,i82,play,1438,2025-01-01 17:29:00,24,F,Medan,tv,kids
63,u18,i102,skip,34,2025-01-01 17:34:00,43,F,Surabaya,series,romance
64,u85,i86,complete,1194,2025-01-01 17:43:00,46,F,Denpasar,microdrama,comedy
65,u207,i182,skip,36,2025-01-01 17:50:00,39,F,Medan,movie,romance
66,u92,i88,play,1275,2025-01-01 18:51:00,22,F,Medan,tv,kids
67,u201,i130,play,3090,2025-01-01 19:22:00,34,M,Yogyakarta,series,drama
68,u23,i60,like,1171,2025-01-01 19:34:00,21,M,Jakarta,series,anime
69,u62,i65,play,1792,2025-01-01 19:48:00,54,M,Jakarta,series,anime
70,u101,i7,complete,2512,2025-01-01 19:49:00,43,F,Denpasar,series,romance
71,u91,i191,play,2840,2025-01-01 20:11:00,38,F,Surabaya,microdrama,romance
72,u198,i202,like,1545,2025-01-01 20:21:00,40,F,Surabaya,series,family
73,u93,i242,complete,1061,2025-01-01 20:21:00,43,M,Medan,movie,comedy
74,u90,i253,save,89,2025-01-01 20:46:00,40,M,Denpasar,series,thriller
75,u90,i189,play,2191,2025-01-01 21:01:00,40,M,Denpasar,series,thriller
76,u157,i111,skip,37,2025-01-01 21:04:00,48,M,Bandung,movie,drama
77,u204,i12,play,1832,2025-01-01 21:35:00,35,F,Jakarta,series,romance
78,u72,i1,play,1049,2025-01-01 21:36:00,20,M,Makassar,series,romance
79,u53,i22,complete,1031,2025-01-01 22:06:00,17,M,Denpasar,movie,drama
